,DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,MCAR1,MCAR2,MCAR3,MCAR4,MCAR5,MCAR6,MCAR7,MCAR8,MFTN1,MFTN2,MFTN3,MFTN4,MFTN5,MFTN6,MFTN7,MFTN8
365,10:15,13:35,12:30,0:10,10:30,21:05,,,11:35,8:20,23:05,7:00,16:05,22:20,,,2018-07-03,2018-07-03,2018-07-04,2018-08-02,2018-08-02,2018-08-02,2018-08-02,2018-08-02,BOD,CDG,NRT,NOU,KIX,CDG,,,CDG,NRT,NOU,KIX,CDG,BOD,,,AF,AF,AF,AF,AF,AF,,,7625,0276,4021,4022,0291,7630,VOID,VOID
366,1:05,10:30,16:30,21:50,,7:00,,13:35,7:55,15:10,17:45,23:00,,8:15,,8:20,2018-09-09,2018-09-09,2018-09-09,2018-09-09,2018-09-09,2018-10-12,2018-10-12,2018-10-12,NOU,NRT,AMS,CDG,,UIP,,CDG,NRT,AMS,CDG,BES,,ORY,,NRT,AF,AF,AF,AF,,AF,,AF,4020,5134,8239,7732,VOID,7479,VOID,0276
367,0:45,11:25,16:35,6:45,14:35,12:15,,,7:50,15:30,17:45,8:10,9:45,22:45,,,2018-12-07,2018-12-07,2018-12-07,2019-01-07,2019-01-07,2019-01-08,2019-01-08,2019-01-08,NOU,NRT,AMS,SXB,AMS,NRT,,,NRT,AMS,SXB,AMS,NRT,NOU,,,AF,AF,AF,AF,AF,AF,,,4020,5134,1337,1236,5133,4021,VOID,VOID
368,0:10,10:25,20:30,11:25,14:00,11:30,,,7:00,15:10,22:05,12:30,8:40,22:15,,,2018-09-10,2018-09-10,2018-09-10,2018-10-24,2018-10-24,2018-10-25,2018-10-25,2018-10-25,NOU,KIX,AMS,NTE,CDG,KIX,,,KIX,AMS,NTE,CDG,KIX,NOU,,,AF,AF,AF,AF,AF,AF,,,4022,8438,8265,7725,0292,4023,VOID,VOID
369,13:35,12:30,0:10,10:25,16:30,,,,8:20,23:05,7:00,15:10,17:45,,,,2018-07-17,2018-07-18,2018-09-24,2018-09-24,2018-09-24,2018-09-24,2018-09-24,2018-09-24,CDG,NRT,NOU,KIX,AMS,,,,NRT,NOU,KIX,AMS,CDG,,,,AF,AF,AF,AF,AF,,,,276,4021,4022,8438,8239,VOID,VOID,VOID
370,8:30,18:15,,9:20,13:20,,,,16:45,18:30,,11:50,6:30,,,,2018-06-24,2018-06-24,2018-06-24,2018-07-12,2018-07-12,2018-07-12,2018-07-12,2018-07-12,SGN,CDG,,MAN,CDG,,,,CDG,LHR,,CDG,SGN,,,,AF,AF,,AF,AF,,,,253,1080,VOID,1669,0258,VOID,VOID,VOID
371,22:25,15:10,10:40,19:35,0:10,13:20,,,13:35,8:25,12:20,21:10,6:30,17:15,,,2018-07-06,2018-07-07,2018-07-08,2018-07-24,2018-07-25,2018-07-25,2018-07-25,2018-07-25,HAV,CDG,PVG,TAO,PVG,CDG,,,CDG,PVG,TAO,PVG,CDG,HAV,,,AF,AF,AF,AF,AF,AF,,,943,0112,5224,5226,5201,0820,VOID,VOID
372,22:25,15:10,10:40,19:35,0:10,13:20,,,13:35,8:25,12:20,21:10,6:30,17:15,,,2018-07-06,2018-07-07,2018-07-08,2018-07-24,2018-07-25,2018-07-25,2018-07-25,2018-07-25,HAV,CDG,PVG,TAO,PVG,CDG,,,CDG,PVG,TAO,PVG,CDG,HAV,,,AF,AF,AF,AF,AF,AF,,,943,0112,5224,5226,5201,0820,VOID,VOID
373,22:25,15:10,10:40,19:35,0:10,13:20,,,13:35,8:25,12:20,21:10,6:30,17:15,,,2018-07-06,2018-07-07,2018-07-08,2018-07-24,2018-07-25,2018-07-25,2018-07-25,2018-07-25,HAV,CDG,PVG,TAO,PVG,CDG,,,CDG,PVG,TAO,PVG,CDG,HAV,,,AF,AF,AF,AF,AF,AF,,,943,0112,5224,5226,5201,0820,VOID,VOID
374,22:25,15:10,10:40,19:35,0:10,13:20,,,13:35,8:25,12:20,21:10,6:30,17:15,,,2018-07-06,2018-07-07,2018-07-08,2018-07-24,2018-07-25,2018-07-25,2018-07-25,2018-07-25,HAV,CDG,PVG,TAO,PVG,CDG,,,CDG,PVG,TAO,PVG,CDG,HAV,,,AF,AF,AF,AF,AF,AF,,,943,0112,5224,5226,5201,0820,VOID,VOID
