DPTR_TM1,DPTR_TM2,DPTR_TM3,DPTR_TM4,DPTR_TM5,DPTR_TM6,DPTR_TM7,DPTR_TM8,ARRV_TM1,ARRV_TM2,ARRV_TM3,ARRV_TM4,ARRV_TM5,ARRV_TM6,ARRV_TM7,ARRV_TM8,FLT_DATE1,FLT_DATE2,FLT_DATE3,FLT_DATE4,FLT_DATE5,FLT_DATE6,FLT_DATE7,FLT_DATE8,ORAC1,ORAC2,ORAC3,ORAC4,ORAC5,ORAC6,ORAC7,ORAC8,DSTC1,DSTC2,DSTC3,DSTC4,DSTC5,DSTC6,DSTC7,DSTC8,NUM_CONNECTIONS,LAST_ARRIVAL,TOTAL_DUR_MIN,TOTAL_CONNECTION_TIME_MIN,MAX_CONNECTION_TIME_MINUTES,DEPARTURE_DOW,ARRIVAL_DOW,INCLUDE
1065,1280,405,,,,,,410,1330,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,870,5,7,TRUE
1065,1280,405,,,,,,410,1330,490,,,,,,11/9/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2305,1385,870,5,7,TRUE
1290,1280,405,,,,,,640,1330,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2080,1155,640,5,7,TRUE
1290,1280,405,,,,,,640,1330,490,,,,,,11/5/2018,10/28/2018,1/8/2019,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,490,2080,1155,640,5,7,TRUE
994,410,555,,,,,,355,460,630,,,,,,1/2/2019,1/7/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,1076,150,95,5,6,TRUE
994,410,555,,,,,,355,460,630,,,,,,1/2/2019,1/7/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,1076,150,95,5,6,TRUE
5,410,555,,,,,,780,460,630,,,,,,11/5/2018,1/7/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,2065,1165,1070,5,6,TRUE
1175,410,555,,,,,,550,460,630,,,,,,1/1/2019,1/13/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,2335,1395,1300,5,7,TRUE
1175,410,555,,,,,,550,460,630,,,,,,1/1/2019,1/13/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,2335,1395,1300,5,7,TRUE
1290,410,555,,,,,,640,460,630,,,,,,11/5/2018,1/13/2019,10/28/2018,,,,,,JFK,AMS,DUS,,,,,,AMS,DUS,CDG,,,,,,2,630,2220,1305,1210,5,7,TRUE
